Stock,Date,Industry,Open,Close,High,Low,Volume,Adjust Close Price,Daily Value Traded,Beta,RSI,EPS,Total Revenue Quarter,Dividend per share Quarter
AAPL,8/30/2025,Tech,0,0,0,0,0,232.14,0,1.03439,65.75769,6.10905,94036,0.26
AAPL,8/29/2025,Tech,232.51,232.14,233.38,231.37,39.41844,232.14,9150.59597,1.03439,65.75769,6.10905,94036,0.26
AAPL,8/28/2025,Tech,230.82,232.56,233.41,229.335,38.0747,232.56,8854.65223,2.39008,66.70991,6.10905,94036,0.26
AAPL,8/27/2025,Tech,228.61,230.49,230.9,228.26,31.25951,230.49,7205.00515,1.36483,64.34713,6.10905,94036,0.26
AAPL,8/26/2025,Tech,226.87,229.31,229.49,224.69,54.57511,229.31,12514.61779,0.76372,62.95539,6.10905,94036,0.26
AAPL,8/25/2025,Tech,226.48,227.16,229.3,226.23,30.98313,227.16,7038.12849,0.8521,60.33578,6.10905,94036,0.26
AAPL,8/24/2025,Tech,0,0,0,0,0,227.76,0,1.30181,61.46206,6.10905,94036,0.26
AAPL,8/23/2025,Tech,0,0,0,0,0,227.76,0,0.97903,61.46206,6.10905,94036,0.26
AAPL,8/22/2025,Tech,226.17,227.76,229.09,225.41,42.47781,227.76,9674.74623,0.97903,61.46206,6.10905,94036,0.26
AAPL,8/21/2025,Tech,226.27,224.9,226.52,223.7804,30.62125,224.9,6886.7189,-5.24187,57.99116,6.10905,94036,0.26
AAPL,8/20/2025,Tech,229.98,226.01,230.47,225.77,42.26387,226.01,9552.05613,-0.65399,59.9366,6.10905,94036,0.26
AAPL,8/19/2025,Tech,231.275,230.56,232.87,229.35,39.40256,230.56,9084.65516,-0.28621,68.71028,6.10905,94036,0.26
AAPL,8/18/2025,Tech,231.7,230.89,233.12,230.11,37.47619,230.89,8652.87705,0.81936,69.3944,6.10905,94036,0.26
AAPL,8/17/2025,Tech,0,0,0,0,0,231.59,0,3.40994,70.78254,6.10905,94036,0.26
AAPL,8/16/2025,Tech,0,0,0,0,0,231.59,0,1.17248,70.78254,6.10905,94036,0.26
AAPL,8/15/2025,Tech,234,231.59,234.28,229.335,56.03866,231.59,12977.99258,1.17248,70.78254,6.10905,94036,0.26
AAPL,8/14/2025,Tech,234.055,232.78,235.12,230.85,51.91628,232.78,12085.0705,0.80518,73.09055,6.10905,94036,0.26
AAPL,8/13/2025,Tech,231.07,233.33,235,230.43,69.87855,233.33,16304.76114,1.32842,74.12789,6.10905,94036,0.26
AAPL,8/12/2025,Tech,228.005,229.65,230.8,227.07,55.6723,229.65,12785.14393,2.26678,71.62591,6.10905,94036,0.26
AAPL,8/11/2025,Tech,227.92,227.18,229.56,224.76,61.80613,227.18,14041.11707,3.79892,69.80606,6.10905,94036,0.26
AAPL,8/10/2025,Tech,0,0,0,0,0,229.09,0,1.72686,73.66018,6.10905,94036,0.26
AAPL,8/9/2025,Tech,0,0,0,0,0,229.09,0,3.41979,73.66018,6.10905,94036,0.26
AAPL,8/8/2025,Tech,220.83,229.35,231,219.25,113.85397,229.09,26112.40733,3.41979,73.66018,6.10905,94036,0.26
AAPL,8/7/2025,Tech,218.875,220.03,220.85,216.58,90.22483,219.78057,19852.17023,4.08426,66.22263,6.10905,94036,0.26
AAPL,8/6/2025,Tech,205.63,213.25,215.38,205.59,108.4831,213.00825,23134.02172,0.74137,58.26131,6.10905,94036,0.26
AAPL,8/5/2025,Tech,203.4,202.92,205.34,202.16,44.15508,202.68996,8959.94863,0.89918,37.37997,6.10905,94036,0.26
